auteur,Date,Titre,Source,Etiquettes ,Décennie,"Notoriété sur Fabula : ""Prénom+nom"" ",Notoriété sur Fabula : nom,Commentaires ,Documents BNF ,Nom du relecteur ,Remarques,Problèmes,
Balzac,1843-01-01T00:00:00+01:00,Illusions perdues (prendre un seul volume ?)  ,Maxime,canonique,1840-1850,201,3920,,124,,,,
Balzac,1841-01-01T00:00:00+01:00,Une ténébreuse affaire,Maxime,canonique,1840-1850,201,3920,,96,,,,
Balzac,1846-01-04T00:00:00+01:00,La Cousine Bette,Maxime,canonique,1840-1850,201,3920,,128,,,,
Balzac,1847-03-15T00:00:00+01:00,Le cousin Pons,Maxime,canonique,1840-1850,201,3920,,113,,,,
Balzac,1847-03-15T00:00:00+01:00,Splendeurs et misères des courtisanes ,Maxime,canonique,1840-1850,201,3920,,118,,,,
"Barbey d'Aurevilly, Jules",1841-01-01T00:00:00+01:00,L'amour impossible,Bibebook,canonique,1840-1850,105,2183,,16,Marianne ,,,
"Dumas, Alexandre (fils)",1848-01-01T00:00:00+01:00,La dame aux camélias,,canonique,1840-1850,,32,,91,Marianne ,,,
"Dumas, Alexandre Père",1845-01-01T00:00:00+01:00,Le comte de Monte-Cristo,Bibebook,canonique,1840-1850,350,3110,,198,Marianne ,,,
"Dumas, Alexandre Père",1845-01-01T00:00:00+01:00,Vingt ans après ,Bibebook,canonique,1840-1850,350,3110,,134,Marianne ,,,
"Dumas, Alexandre Père",1844-01-15T00:00:00+01:00,Les Trois Mousquetaires (volume complet),Ebooks libres et gratuits,canonique,1840-1850,350,3110,,324,Marianne ,,,
"Dumas, Alexandre Père",1845-09-22T00:00:00+01:00,La Reine Margot,Atramenta (www.atramenta.net),canonique,1840-1850,350,3110,,94,Marianne ,,,
"Gautier, Théophile",1847-09-24T00:00:00+01:00,Les roués innocents,Les Bourlapapey Bibliothèque numérique romande,canonique,1840-1850,475,1150,,7,Marianne ,,,
"Mérimée, Prosper",1840-07-07T00:00:00+01:00,Colomba,,canonique,1840-1850,119,353,,191,Marianne ,,,
"Mérimée, Prosper",1845-11-29T00:00:00+01:00,Carmen,Atramenta (www.atramenta.net),"canonique, nouvelle",1840-1850,119,353,,193,Marianne ,,,
"Sand, George",1843-06-04T00:00:00+01:00,Consuelo,,canonique,1840-1850,2380,2510,,27,Marianne ,,,
"Sand, George",1845-04-27T00:00:00+01:00,Le meunier d’Angibault,,canonique,1840-1850,2380,2510,,18,Marianne ,,,
"Sand, George",1846-01-04T00:00:00+01:00,La Mare au Diable,Bibebook,canonique,1840-1850,2380,2510,,194,Marianne ,,,
"Sand, George",1849-01-22T00:00:00+01:00,La Petite Fadette,Ebooks libres et gratuits,canonique,1840-1850,2380,2510,,163,Marianne ,,,
"Sand, George",1848-01-22T00:00:00+01:00,François le Champi,Ebooks libres et gratuits,canonique,1840-1850,2380,2510,,96,Marianne ,,,
"Sue, Eugène",1845-11-20T00:00:00+01:00,Le juif errant,Ebooks libres et gratuits,canonique,1840-1850,164,341,,75,Marianne ,,,
"Sue, Eugène",1843-12-23T00:00:00+01:00,Les Mystères de Paris ,Ebooks libres et gratuits,canonique,1840-1850,164,341,,136,Marianne ,,,
"Achard, Amédée",1847-01-04T00:00:00+01:00,Belle-Rose,Bibebook,non-canonique,1840-1850,1,120,,20,Marianne ,,,
"Collin de Plancy, Jacques-Albin-Simon",1847-01-15T00:00:00+01:00,Légende du Juif-Errant,Mellier frères (Paris),non-canonique,1840-1850,1,12,,1,Marianne ,,,
"Dash, comtesse de",1847-01-15T00:00:00+01:00,"""Keepsake"" des jeunes personnes",Pétion (Paris),non-canonique,1840-1850,,5,,1,Marianne ,,,
"Erckmann, Jules",1846-01-15T00:00:00+01:00,Les Disciples d'Escobar,Mansut (Paris),non-canonique,1840-1850,0,34,,1,Camille ,Note de bas de page,,
"Eyma, Xavier",1840-01-15T00:00:00+01:00,Le Médaillon,Chrétien (Paris),non-canonique,1840-1850,0,0,,1,Marianne ,,,
"Féval, Paul (père)",1843-01-01T00:00:00+01:00,Le loup blanc,,non-canonique,1840-1850,35,41,,27,Marianne ,,,
"Féval, Paul (père)",1846-01-04T00:00:00+01:00,Le Fils du diable,Bibebook,non-canonique,1840-1850,35,41,,28,Marianne ,,,
"Gay, Sophie",1844-02-12T00:00:00+01:00,"Ellénore, Volume I",,non-canonique,1840-1850,9,non pertinent,,3,Marianne ,,,
"Karr, Alphonse",1839-04-01T00:00:00+01:00,Clotilde,,non-canonique,1840-1850,24,23,,12,Marianne ,pas la bonne décennie!,,
"Lacombe, Patrice",1846-01-04T00:00:00+01:00,La terre paternelle,Bibebook,non-canonique,1840-1850,2,,,2,Marianne ,,,
"Le Roux, Alfred",1843-02-15T00:00:00+01:00,Édouard Aubert,C. Gosselin (Paris),non-canonique,1840-1850,0,,,1,Marianne ,,,
"Musset, Paul de",1846-02-15T00:00:00+01:00,Monsieur le Vent et Madame la Pluie,J. Hetzel,non-canonique,1840-1850,1,non pertinent,,26,Marianne ,,,
Pigault-Lebrun,1843-02-15T00:00:00+01:00,Mon oncle Thomas,G. Barba,non-canonique,1840-1850,sans objet,23,,23,Marianne ,,,
"Replat, Jacques",1840-03-15T00:00:00+01:00,"Le sanglier de la forêt de Lonnes, esquisse du comté de Savoie à la fin du XIVe siècle (1876)",A. L'Hoste,non-canonique,1840-1850,0,0,,2,Marianne ,,,
"Reybaud, Henriette-Étiennette-Fanny",1844-03-15T00:00:00+01:00,Rose,Dumont (Paris),non-canonique,1840-1850,0,7,"(1 occurrence avec ""mme reybaud"")",,Marianne ,,,
"Sandeau, Jules",1847-12-19T00:00:00+01:00,"Mademoiselle de la Seiglière, Volume 1",,non-canonique,1840-1850,10,18,,64,Marianne ,,,
"Sandeau, Jules",1849-03-15T00:00:00+01:00,Un héritage,Michel Lévy frères (Paris),non-canonique,1840-1850,10,18,,9,Marianne ,,,
"Tarbé Des Sablons, Michelle-Catherine-Joséphine Guespereau, Mme Sébastien-André",1844-03-15T00:00:00+01:00,"Onésie, ou les Soirées de l'abbaye, suivie de Enguerrand, ou le Duel",Waille (Paris),non-canonique,1840-1850,0,0,,2,Marianne ,plusieurs romans en 1 tome,,
"Tillier, Claude",1843-01-04T00:00:00+01:00,Mon oncle Benjamin,Bibebook,non-canonique,1840-1850,1,64,,61,Marianne ,,,
"Viel-Castel, Horace de",1845-03-15T00:00:00+01:00,Archambaud de Comborn,Amyot (Paris),non-canonique,1840-1850,1,1,,1,Marianne ,,,
"Walsh, Joseph-Alexis",1845-03-15T00:00:00+01:00,Les Veillées de voyage,R. Pornin (Tours),non-canonique,1840-1850,0,,,3,Marianne ,,,
"Woillez, Catherine",1848-03-15T00:00:00+01:00,"Edma et Marguerite, ou les Ruines de Chatillon d'Azergues",A. Mame,non-canonique,1840-1850,0,0,,5,Marianne ,,,
"Barbey d'Aurevilly, Jules",1854-01-01T00:00:00+01:00,L'ensorcelée,Bibebook,canonique,1850-1860,105,2183,,39,Marianne ,,,
"Chateaubriand, François-René de",1850-01-01T00:00:00+01:00,Mémoires d'Outre-Tombe,,"canonique, mémoire et autobiographie",1850-1860,55,1380,,165,Marianne ,notées 1848 dans le corpus,,
"Dumas, Alexandre Père",1850-01-01T00:00:00+01:00,Le vicomte de Bragelonne,Bibebook,canonique,1850-1860,350,3110,,114,Marianne ,noté 1847 dans le corpus,,
"Dumas, Alexandre Père",1850-01-01T00:00:00+01:00,La tulipe noire,,canonique,1850-1860,350,3110,,60,Marianne ,noté 1849 dans le corpus,,
"Dumas, Alexandre Père",1853-01-01T00:00:00+01:00,La Comtesse de Charny - Tome II (Les Mémoires d'un médecin),Feedbooks,canonique,1850-1860,350,3110,,64,Marianne ,,,
"Dumas, Alexandre Père",1850-01-01T00:00:00+01:00,La femme au collier de velours,,canonique,1850-1860,350,3110,,73,Marianne ,,,
"Dumas, Alexandre Père",1855-01-01T00:00:00+01:00,Le page du duc de Savoie I,Bibebook,canonique,1850-1860,350,3110,,23,Marianne ,,,
"Dumas, Alexandre Père",1859-01-01T00:00:00+01:00,Jane,,canonique,1850-1860,350,3110,,8,Marianne ,,,
"Dumas, Alexandre Père",1859-01-01T00:00:00+01:00,sultanetta,Bibebook,canonique,1850-1860,350,3110,,6,Marianne ,,,
"Dumas, Alexandre Père",1859-01-29T00:00:00+01:00,Ammalat-Beg,,canonique,1850-1860,350,3110,,2,Marianne ,,,
"Dumas, Alexandre Père",1858-01-01T00:00:00+01:00,Les Louves de Machecoul II,Bibebook,canonique,1850-1860,350,3110,,22,Marianne ,,,
"Flaubert, Gustave",1856-02-07T00:00:00+01:00,Madame Bovary,,canonique,1850-1860,560,5500,,280,Camille  ,,,
"Gautier, Théophile",1850-06-12T00:00:00+01:00,Jean et Jeannette,Les Bourlapapey Bibliothèque numérique romande,canonique,1850-1860,475,1150,,6,Marianne ,,,
